% []
@RELATION base

@ATTRIBUTE tot_changes NUMERIC
@ATTRIBUTE sum_insert NUMERIC
@ATTRIBUTE sum_delets NUMERIC
@ATTRIBUTE count_insert NUMERIC
@ATTRIBUTE count_delets NUMERIC
@ATTRIBUTE avg_insert NUMERIC
@ATTRIBUTE avg_delets NUMERIC
@ATTRIBUTE avg_insert_nonzero NUMERIC
@ATTRIBUTE avg_delets_nonzero NUMERIC
@ATTRIBUTE tot_bugs NUMERIC
@ATTRIBUTE tot_developers NUMERIC
@ATTRIBUTE change_set NUMERIC
@ATTRIBUTE age NUMERIC
@ATTRIBUTE age2 NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
18,2047,1628,18,18,113.722222222,90.4444444444,113.722222222,90.4444444444,1,2,706,1028870694.54,-7995541961.33,bugged
2,279,6,2,2,139.5,3.0,139.5,3.0,0,1,7,670490660.17,-29202243.9827,valid
2,383,42,2,2,191.5,21.0,191.5,21.0,0,1,697,837340839.565,-205867700.823,valid
1,163,2,1,1,163.0,2.0,163.0,2.0,0,1,306,395342741.599,-9587576.57412,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,335,2,1,1,335.0,2.0,335.0,2.0,0,1,306,817696477.966,-9336944.43301,valid
2,177,10,2,2,88.5,5.0,88.5,5.0,0,1,83,410075998.378,-48867576.7004,valid
3,214,9,3,3,71.3333333333,3.0,71.3333333333,3.0,0,2,499,503386721.733,-43905882.4865,valid
3,695,62,3,3,231.666666667,20.6666666667,231.666666667,20.6666666667,0,1,83,1554362607.79,-303599764.61,valid
1,247,2,1,1,247.0,2.0,247.0,2.0,0,1,306,601608519.825,-9465174.83079,valid
3,683,96,3,3,227.666666667,32.0,227.666666667,32.0,1,2,86,1441404519.24,-470628763.758,valid
1,507,2,1,1,507.0,2.0,507.0,2.0,0,1,306,1240050214.33,-9086312.2919,valid
4,134,10,4,4,33.5,2.5,33.5,2.5,0,2,19,304623062.187,-49088044.9575,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,171,2,1,1,171.0,2.0,171.0,2.0,0,1,306,414987101.43,-9575919.26523,valid
3,327,78,3,3,109.0,26.0,109.0,26.0,1,2,438,611439880.508,-382885950.619,valid
1,402,2,1,1,402.0,2.0,402.0,2.0,0,1,17,982709667.282,-9735906.95986,valid
1,12,12,1,1,12.0,12.0,12.0,12.0,0,1,170,0.0,-58954663.3931,valid
2,211,14,2,2,105.5,7.0,105.5,7.0,0,1,697,483742361.86,-68497843.2994,valid
2,138,5,2,2,69.0,2.5,69.0,2.5,0,2,499,326587482.88,-24365148.0017,valid
2,78,5,2,2,39.0,2.5,39.0,2.5,0,2,301,179291061.63,-24490843.1252,valid
1,637,2,1,1,637.0,2.0,637.0,2.0,0,1,306,1559271061.59,-8896881.02245,valid
1,437,2,1,1,437.0,2.0,437.0,2.0,0,1,306,1068162065.81,-9188313.74468,valid
1,347,2,1,1,347.0,2.0,347.0,2.0,0,1,306,847163017.713,-9319458.46968,valid
1,227,2,1,1,227.0,2.0,227.0,2.0,0,1,306,552497620.247,-9494318.10301,valid
1,922,2,1,1,922.0,2.0,922.0,2.0,0,1,306,2259101380.57,-8481589.39329,valid
1,2587,2,1,1,2587.0,2.0,2587.0,2.0,0,1,306,6347583770.4,-6055411.98079,valid
2,7057,6,2,2,3528.5,3.0,3528.5,3.0,0,1,494,17321606991.6,-26765594.3841,valid
4,242,29,4,4,60.5,7.25,60.5,7.25,0,2,609,523029753.168,-142133885.091,valid
2,94,5,2,2,47.0,2.5,47.0,2.5,0,2,304,218565959.967,-24452728.6334,valid
5,140,136,5,5,28.0,27.2,28.0,27.2,0,2,544,9826185.02106,-668203705.478,valid
2,175,10,2,2,87.5,5.0,87.5,5.0,0,1,18,405199639.657,-48909489.1632,valid
2,295,4,2,2,147.5,2.0,147.5,2.0,0,2,500,714867047.696,-19532890.6737,bugged
8,3367,393,8,8,420.875,49.125,420.875,49.125,1,2,720,7302875912.75,-1926654479.76,valid
1,183,2,1,1,183.0,2.0,183.0,2.0,0,1,306,444453641.177,-9558433.3019,valid
7,935,93,7,7,133.571428571,13.2857142857,133.571428571,13.2857142857,1,2,491,2068533283.49,-456691175.689,bugged
2,453,7,2,2,226.5,3.5,226.5,3.5,0,1,103,1095180303.02,-33741559.8483,valid
3,668,40,3,3,222.666666667,13.3333333333,222.666666667,13.3333333333,0,1,491,1542819748.4,-196364338.762,valid
1,191,2,1,1,191.0,2.0,191.0,2.0,0,1,83,464098001.666,-9546776.66538,valid
1,402,2,1,1,402.0,2.0,402.0,2.0,0,1,306,982217991.551,-9239314.47106,valid
1,235,2,1,1,235.0,2.0,235.0,2.0,0,1,306,572141980.078,-9482660.79412,valid
1,672,2,1,1,672.0,2.0,672.0,2.0,0,1,306,1645215135.85,-8845880.29606,valid
5,1099,43,5,5,219.8,8.6,219.8,8.6,1,3,641,2593061656.41,-209723424.169,bugged
18,892,418,18,18,49.5555555556,23.2222222222,49.5555555556,23.2222222222,0,3,742,1163978452.4,-2052468594.88,valid
21,1498,701,21,21,71.3333333333,33.380952381,71.3333333333,33.380952381,2,4,769,1957158139.77,-3442233770.83,valid
4,362,17,4,4,90.5,4.25,90.5,4.25,1,2,508,847167484.255,-83014269.9087,valid
1,12,120,1,1,12.0,120.0,12.0,120.0,0,1,95,-265236921.631,-589534691.16,valid
2,64,188,2,2,32.0,94.0,32.0,94.0,0,1,172,-304637122.741,-923754794.384,valid
1,327,2,1,1,327.0,2.0,327.0,2.0,0,1,1,798134517.8,-9432015.55655,valid
5,350,53,5,5,70.0,10.6,70.0,10.6,0,1,509,729637656.838,-260325238.621,valid
3,623,68,3,3,207.666666667,22.6666666667,207.666666667,22.6666666667,0,1,491,1363089002.56,-333564606.794,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,255,2,1,1,255.0,2.0,255.0,2.0,0,1,306,621252879.656,-9453517.5219,valid
1,392,2,1,1,392.0,2.0,392.0,2.0,0,1,306,957662541.762,-9253886.10718,valid
4,194,21,4,4,48.5,5.25,48.5,5.25,1,3,720,424809292.615,-102904094.909,valid
9,642,298,9,9,71.3333333333,33.1111111111,71.3333333333,33.1111111111,1,2,506,845024107.556,-1463988250.69,valid
2,103,111,2,2,51.5,55.5,51.5,55.5,0,1,510,-19650260.2651,-545304460.157,valid
1,195,2,1,1,195.0,2.0,195.0,2.0,0,1,306,473920180.923,-9540947.33856,valid
5,381,203,5,5,76.2,40.6,76.2,40.6,0,1,100,437112840.734,-996836299.988,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
4,787,198,4,4,196.75,49.5,196.75,49.5,1,2,493,1447018271.05,-972731615.678,valid
18,1406,991,18,18,78.1111111111,55.0555555556,78.1111111111,55.0555555556,0,2,700,1019009548.24,-4866901472.62,bugged
1,402,2,1,1,402.0,2.0,402.0,2.0,0,1,306,982217991.551,-9239314.47106,valid
1,163,2,1,1,163.0,2.0,163.0,2.0,0,1,306,395342741.599,-9587576.57412,valid
2,355,6,2,2,177.5,3.0,177.5,3.0,0,2,492,856992992.592,-28975755.3103,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,78,5,2,2,39.0,2.5,39.0,2.5,0,2,499,179254783.837,-24452577.5073,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
5,606,164,5,5,121.2,32.8,121.2,32.8,0,3,513,1085529360.21,-805340892.848,valid
2,235,134,2,2,117.5,67.0,117.5,67.0,0,1,446,247967750.776,-657989633.864,valid
1,343,2,1,1,343.0,2.0,343.0,2.0,0,1,306,837340837.797,-9325287.12412,valid
7,821,151,7,7,117.285714286,21.5714285714,117.285714286,21.5714285714,0,3,642,1645341140.12,-741065573.617,valid
8,652,259,8,8,81.5,32.375,81.5,32.375,0,3,525,965224512.153,-1272153062.75,valid
1,742,2,1,1,742.0,2.0,742.0,2.0,0,1,306,1817103284.37,-8743878.84329,valid
1,432,2,1,1,432.0,2.0,432.0,2.0,0,1,306,1055884340.92,-9195599.56273,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
10,1839,108,10,10,183.9,10.8,183.9,10.8,1,3,517,4250559306.65,-527978129.025,valid
1,467,2,1,1,467.0,2.0,467.0,2.0,0,1,306,1141828415.18,-9144598.83634,valid
1,712,2,1,1,712.0,2.0,712.0,2.0,0,1,11,1744206690.12,-9561685.52044,valid
11,1118,488,11,11,101.636363636,44.3636363636,101.636363636,44.3636363636,1,3,498,1546966480.93,-2396283881.4,valid
3,114,9,3,3,38.0,3.0,38.0,3.0,0,3,499,257837208.737,-44065264.5417,valid
8,375,62,8,8,46.875,7.75,46.875,7.75,0,2,518,768733532.422,-304300598.895,valid
1,183,2,1,1,183.0,2.0,183.0,2.0,0,1,306,444453641.177,-9558433.3019,valid
4,178,15,4,4,44.5,3.75,44.5,3.75,0,3,641,400293862.862,-73494092.8076,valid
1,497,2,1,1,497.0,2.0,497.0,2.0,0,1,306,1215494764.54,-9100883.92801,valid
4,855,206,4,4,213.75,51.5,213.75,51.5,0,1,504,1594236733.23,-1011821994.1,valid
3,257,78,3,3,85.6666666667,26.0,85.6666666667,26.0,0,1,83,439542697.983,-382809792.357,valid
3,155,12,3,3,51.6666666667,4.0,51.6666666667,4.0,0,1,12,351173018.912,-58759857.6101,valid
1,107,2,1,1,107.0,2.0,107.0,2.0,0,1,23,257901340.708,-9740928.72605,valid
3,139,279,3,3,46.3333333333,93.0,46.3333333333,93.0,0,1,543,-343938327.676,-1370881132.1,valid
3,387,74,3,3,129.0,24.6666666667,129.0,24.6666666667,0,1,492,768866241.666,-363425337.084,valid
1,457,2,1,1,457.0,2.0,457.0,2.0,0,1,306,1117272965.39,-9159170.47245,valid
2,170,5,2,2,85.0,2.5,85.0,2.5,0,2,302,405246276.335,-24401845.1136,valid
3,146,9,3,3,48.6666666667,3.0,48.6666666667,3.0,0,2,641,336409745.061,-44013645.2047,valid
5,593,34,5,5,118.6,6.8,118.6,6.8,0,2,762,1372654275.52,-166236477.513,valid
1,195,2,1,1,195.0,2.0,195.0,2.0,0,1,306,473920180.923,-9540947.33856,valid
1,542,2,1,1,542.0,2.0,542.0,2.0,0,1,306,1325994288.59,-9035311.56551,valid
3,182,9,3,3,60.6666666667,3.0,60.6666666667,3.0,0,2,499,424809282.243,-43952511.8044,valid
1,717,2,1,1,717.0,2.0,717.0,2.0,0,1,306,1755714659.9,-8780307.93356,valid
2,134,5,2,2,67.0,2.5,67.0,2.5,0,2,499,316765302.944,-24370976.6354,valid
5,901,85,5,5,180.2,17.0,180.2,17.0,0,2,720,2003728713.12,-416360132.076,valid
7,359,204,7,7,51.2857142857,29.1428571429,51.2857142857,29.1428571429,2,3,648,380606918.127,-1001789051.45,valid
3,20,12,3,3,6.66666666667,4.0,6.66666666667,4.0,0,1,49,19647497.5828,-58940410.1637,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
5,205,48,5,5,41.0,9.6,41.0,9.6,0,1,15,385553565.578,-235556756.601,valid
3,218,25,3,3,72.6666666667,8.33333333333,72.6666666667,8.33333333333,0,3,641,473962711.884,-122592335.861,valid
4,366,29,4,4,91.5,7.25,91.5,7.25,0,2,720,827520063.616,-141987665.472,valid
11,2633,746,11,11,239.363636364,67.8181818182,239.363636364,67.8181818182,0,4,709,4633636615.96,-3661884464.86,valid
2,78,5,2,2,39.0,2.5,39.0,2.5,0,2,499,179254783.837,-24452577.5073,valid
