% []
@RELATION base

@ATTRIBUTE tot_changes_Methods NUMERIC
@ATTRIBUTE sum_insert_Methods NUMERIC
@ATTRIBUTE sum_delets_Methods NUMERIC
@ATTRIBUTE count_insert_Methods NUMERIC
@ATTRIBUTE count_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_Methods NUMERIC
@ATTRIBUTE avg_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_Methods NUMERIC
@ATTRIBUTE tot_bugs_Methods NUMERIC
@ATTRIBUTE tot_developers_Methods NUMERIC
@ATTRIBUTE change_set_Methods NUMERIC
@ATTRIBUTE age_Methods NUMERIC
@ATTRIBUTE age2_Methods NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
2,44,5,2,1,22.0,2.5,22.0,5.0,0,1,33,95745291.5693,-24470273.6004,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,7,7364761.97312,6998.0425,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,25,7364532.18726,7227.82836806,valid
13,21,20,10,8,1.61538461538,1.53846153846,2.1,2.5,3,4,165,2454707.16793,-98196925.1857,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,327,7361844.23993,9915.77569444,valid
2,32,2,2,1,16.0,1.0,16.0,2.0,0,2,327,73618442.3993,-9719399.66477,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,18,12278872.3977,7394.29502315,valid
2,5,1,2,1,2.5,0.5,2.5,1.0,0,1,38,9823133.27282,-4905686.56308,valid
4,14,6,3,3,3.5,1.5,4.66666666667,2.0,0,1,25,19641971.3578,-29446920.1259,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,327,7361844.23993,9915.77569444,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,7,17191974.1383,8799.23146991,valid
1,11,0,1,0,11.0,0.0,11.0,0,0,1,12,27015887.9292,13898.7947338,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,10,17192478.0482,8295.3215625,valid
1,29,0,1,0,29.0,0.0,29.0,0,0,1,29,71191524.2359,68822.5818287,valid
1,11,0,1,0,11.0,0.0,11.0,0,0,1,4,27015916.3863,13870.3377083,valid
1,18,0,1,0,18.0,0.0,18.0,0,0,1,6,44205913.751,24646.3427083,valid
2,3,1,1,1,1.5,0.5,3.0,1.0,0,1,16,4910489.06567,-4906486.85495,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,2,376,7363974.16194,-14723765.5101,valid
4,140,142,4,3,35.0,35.5,35.0,47.3333333333,0,1,50,-4911506.48295,-697442628.718,valid
1,16,0,1,0,16.0,0.0,16.0,0,0,1,327,39263169.2796,52884.137037,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,3,7367348.67771,4411.33791667,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,327,9815792.31991,13221.0342593,valid
3,16,4,3,2,5.33333333333,1.33333333333,5.33333333333,2.0,0,1,133,29469488.4051,-19628781.6905,valid
3,23,0,3,0,7.66666666667,0.0,7.66666666667,0,0,1,33,56482686.7751,34140.0113657,valid
1,1,1,1,1,1.0,1.0,1.0,1.0,0,1,5,0.0,-4909789.20097,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,9,7367372.34403,4387.67159722,valid
1,96,0,1,0,96.0,0.0,96.0,0,0,1,327,235579015.678,317304.822222,valid
3,76,43,2,2,25.3333333333,14.3333333333,38.0,21.5,0,1,38,81010942.7469,-211041332.574,valid
2,428,1,2,1,214.0,0.5,214.0,1.0,1,2,328,1047835830.15,-3497961.3653,valid
1,9,0,1,0,9.0,0.0,9.0,0,0,1,327,22085532.7198,29747.3270833,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,19,9823133.27282,5880.08134259,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,327,7361844.23993,9915.77569444,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,327,17177636.5598,23136.8099537,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,131,7367367.22306,4392.79256944,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,10,12278866.2935,7400.39918981,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,1,1,10,7364684.39045,-14727573.042,valid
3,24,4,3,2,8.0,1.33333333333,8.0,2.0,0,2,327,49078273.6964,-19570308.2797,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,11,7364682.33847,7077.67715278,valid
1,9,0,1,0,9.0,0.0,9.0,0,0,1,51,22094039.3083,21240.7385417,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,5,7368349.32122,3410.69440972,valid
4,144,7,4,3,36.0,1.75,36.0,2.33333333333,0,1,68,336441180.959,-34178437.3465,valid
6,67,9,5,2,11.1666666667,1.5,13.4,4.5,0,2,41,142390381.101,-44058246.1881,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,13,7367291.95212,4468.06350694,valid
2,12,8,2,1,6.0,4.0,6.0,8.0,0,1,9,9819491.886,-39268690.8541,valid
1,28,0,1,0,28.0,0.0,28.0,0,0,1,7,68737890.1945,65203.2846759,valid
2,7,1,2,1,3.5,0.5,3.5,1.0,0,1,14,14729329.6208,-4897345.96252,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,2,16,7364816.68174,-4904646.07225,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,2,16,7364816.68174,-4904646.07225,valid
1,15,0,1,0,15.0,0.0,15.0,0,0,1,327,36809221.1997,49578.8784722,valid
7,42,21,5,3,6.0,3.0,8.4,7.0,0,3,377,51551496.823,-103060254.233,valid
13,78,32,13,12,6.0,2.46153846154,6.0,2.66666666667,4,2,138,112927167.428,-157053195.305,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,327,9815792.31991,13221.0342593,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,19,12269749.1161,16517.5766204,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,34,7367426.33844,4333.6771875,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,131,7367367.22306,4392.79256944,valid
4,13,7,4,3,3.25,1.75,3.25,2.33333333333,0,2,59,14729533.9727,-34361363.676,valid
1,1,1,1,1,1.0,1.0,1.0,1.0,0,1,21,0.0,-4912038.37072,valid
2,26,2,2,1,13.0,1.0,13.0,2.0,0,1,131,58938938.5046,-9788017.55772,valid
5,22,14,5,4,4.4,2.8,4.4,3.5,1,3,30,19631596.8747,-68703837.6656,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,93,12274220.2624,12046.4303241,valid
5,34,3,5,3,6.8,0.6,6.8,1.0,0,3,54,76136308.1115,-14697736.7018,valid
5,15,8,5,4,3.0,1.6,3.0,2.0,0,2,368,17182606.3779,-39259757.4265,valid
1,6,0,1,0,6.0,0.0,6.0,0,0,1,19,14734699.9092,8820.12201389,valid
2,4,2,2,1,2.0,1.0,2.0,2.0,0,1,25,4909758.36072,-9814768.40919,valid
2,3,3,1,1,1.5,1.5,3.0,3.0,1,1,327,-485.838958332,-14724174.3188,valid
1,16,0,1,0,16.0,0.0,16.0,0,0,1,13,39292223.7446,23829.672037,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,8,7367325.31986,4434.69576389,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,5,7365135.73385,6624.28177083,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,327,7361844.23993,9915.77569444,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,8,7365795.17434,5964.84128472,valid
1,2,2,1,1,2.0,2.0,2.0,2.0,0,1,5,0.0,-9819578.40194,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,131,7367367.22306,4392.79256944,valid
2,3,3,2,2,1.5,1.5,1.5,1.5,1,1,85,0.0,-14729319.3872,valid
3,12,6,3,2,4.0,2.0,4.0,3.0,0,2,353,14727745.4995,-29443110.5806,valid
1,9,0,1,0,9.0,0.0,9.0,0,0,1,327,22085532.7198,29747.3270833,valid
2,7,1,2,1,3.5,0.5,3.5,1.0,0,2,7,14737765.8783,-4906853.16338,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,19,9815799.29287,13214.0612963,valid
2,16,0,2,0,8.0,0.0,8.0,0,1,1,12,39292800.9225,23252.4941667,valid
1,23,0,1,0,23.0,0.0,23.0,0,0,1,7,56490664.4805,26162.3059375,valid
9,58,19,9,7,6.44444444444,2.11111111111,6.44444444444,2.71428571429,3,4,155,95737478.5645,-93222433.4427,valid
1,28,0,1,0,28.0,0.0,28.0,0,0,1,327,68710546.2394,92547.2398148,valid
22,153,99,22,20,6.95454545455,4.5,6.95454545455,4.95,0,4,124,132563804.856,-485967319.847,valid
26,214,124,26,22,8.23076923077,4.76923076923,8.23076923077,5.63636363636,6,4,555,220979359.92,-608691125.33,valid
1,12,0,1,0,12.0,0.0,12.0,0,0,1,327,29447376.9597,39663.1027778,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,131,7367367.22306,4392.79256944,valid
4,44,20,4,2,11.0,5.0,11.0,10.0,2,3,124,58917465.4145,-98138693.0215,valid
1,32,0,1,0,32.0,0.0,32.0,0,0,1,327,78526338.5593,105768.274074,valid
4,29,15,4,3,7.25,3.75,7.25,5.0,0,2,376,34364952.5916,-73610772.352,valid
2,1,1,1,1,0.5,0.5,1.0,1.0,0,1,10,-0.0418981481344,-4909771.90532,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,7,17191974.1383,8799.23146991,valid
3,7,4,3,2,2.33333333333,1.33333333333,2.33333333333,2.0,0,1,31,7367257.16376,-19641749.4605,valid
3,8,4,3,2,2.66666666667,1.33333333333,2.66666666667,2.0,2,1,65,9819536.86308,-19629652.3887,valid
1,9,0,1,0,9.0,0.0,9.0,0,0,1,93,22093596.4723,21683.5745833,valid
1,33,0,1,0,33.0,0.0,33.0,0,0,1,327,80980286.6392,109073.532639,valid
2,22,0,2,0,11.0,0.0,11.0,0,0,1,20,54015434.0345,44139.4133796,valid
4,32,6,4,3,8.0,1.5,8.0,2.0,0,4,62,63830571.0008,-29413730.1499,valid
1,19,0,1,0,19.0,0.0,19.0,0,0,1,3,46669507.5373,18305.8950347,valid
2,25,3,2,1,12.5,1.5,12.5,3.0,0,1,42,54027793.1485,-14703134.0884,valid
4,59,4,4,3,14.75,1.0,14.75,1.33333333333,0,3,65,135023799.734,-19522557.6587,valid
3,19,10,3,2,6.33333333333,3.33333333333,6.33333333333,5.0,1,2,368,22091922.4858,-49073509.8036,valid
1,48,0,1,0,48.0,0.0,48.0,0,0,1,327,117789507.839,158652.411111,valid
1,1,0,1,0,1.0,0.0,1.0,0,0,1,39,2456301.49601,951.842534722,valid
3,20,3,3,2,6.66666666667,1.0,6.66666666667,1.5,0,1,12,41733782.2733,-14693506.9099,valid
4,4,3,2,2,1.0,0.75,2.0,1.5,0,1,23,2454873.37624,-14726944.9267,valid
3,29,2,2,2,9.66666666667,0.666666666667,14.5,1.0,0,2,31,66292115.2187,-9769425.82649,valid
5,22,22,4,4,4.4,4.4,5.5,5.5,0,1,38,-151.940810181,-108015014.636,valid
1,6,0,1,0,6.0,0.0,6.0,0,0,1,51,14729359.5389,14160.4923611,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,13,7367604.77851,4155.23711806,valid
6,29,9,6,5,4.83333333333,1.5,4.83333333333,1.8,0,2,114,49103885.8381,-44159893.8461,valid
1,17,0,1,0,17.0,0.0,17.0,0,0,1,327,41717117.3596,56189.3956018,valid
3,8,8,2,2,2.66666666667,2.66666666667,4.0,4.0,0,1,7,-2559.87555556,-39282832.9425,valid
2,5,0,2,0,2.5,0.0,2.5,0,0,1,136,12278949.6497,7317.04298611,valid
1,15,0,1,0,15.0,0.0,15.0,0,0,1,29,36823202.191,35597.8871528,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,131,7367367.22306,-4907186.79648,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,13,7367604.77851,4155.23711806,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,327,9815792.31991,13221.0342593,valid
1,15,0,1,0,15.0,0.0,15.0,0,0,1,39,36844522.4401,14277.6380208,valid
2,232,4,2,1,116.0,2.0,116.0,4.0,1,2,327,559500162.235,-18883630.1354,valid
2,13,10,1,1,6.5,5.0,13.0,10.0,0,1,366,7362154.18903,-49087195.1989,valid
2,7,1,1,1,3.5,0.5,7.0,1.0,1,2,88,14728990.6417,-4895306.00132,valid
7,22,19,7,6,3.14285714286,2.71428571429,3.14285714286,3.16666666667,1,2,395,7363800.42826,-93276952.5558,valid
1,20,0,1,0,20.0,0.0,20.0,0,0,1,327,49078961.5995,66105.1712963,valid
2,3,3,1,1,1.5,1.5,3.0,3.0,1,1,360,-545.982673611,-14728494.3066,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,10,7367297.50806,4462.50756944,valid
2,8,6,2,1,4.0,3.0,4.0,6.0,1,1,373,4908572.11398,-29452194.0666,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,327,7361844.23993,9915.77569444,valid
3,15,12,3,2,5.0,4.0,5.0,6.0,1,2,103,7364412.7149,-58909557.1205,valid
4,21,3,4,3,5.25,0.75,5.25,1.0,0,1,47,44207836.1154,-14713882.6146,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,131,7367367.22306,4392.79256944,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,131,7367367.22306,4392.79256944,valid
2,8,3,2,1,4.0,1.5,4.0,3.0,1,1,360,12273654.2584,-14716427.8549,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,88,7364532.14448,7227.87114583,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,30,7367292.39813,4467.6175,valid
2,10,5,2,1,5.0,2.5,5.0,5.0,1,1,373,12272918.2729,-24535092.105,valid
5,27,15,4,4,5.4,3.0,6.75,3.75,0,1,98,29457598.9948,-73622654.5316,valid
5,24,12,5,4,4.8,2.4,4.8,3.0,0,2,371,29462823.995,-58894210.5529,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,131,7367367.22306,4392.79256944,valid
1,16,0,1,0,16.0,0.0,16.0,0,0,1,131,39292625.1896,23428.227037,valid
5,10,7,5,4,2.0,1.4,2.0,1.75,0,2,366,7363791.21334,-34360119.3745,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,327,7361844.23993,9915.77569444,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,10,7368204.87781,3555.1378125,valid
1,223,0,1,0,223.0,0.0,223.0,0,0,1,327,547230421.835,737072.659954,valid
1,25,0,1,0,25.0,0.0,25.0,0,0,1,36,61407514.8142,23818.6493056,valid
3,6,6,2,2,2.0,2.0,3.0,3.0,0,3,381,-813.840937499,-29458121.493,valid
2,2,2,2,2,1.0,1.0,1.0,1.0,0,2,22,0.0,-9823789.08613,valid
2,17,12,2,1,8.5,6.0,8.5,12.0,1,1,373,12271988.2804,-58901978.8472,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,2,357,7363974.16194,-14722485.6194,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,327,7361844.23993,9915.77569444,valid
1,26,0,1,0,26.0,0.0,26.0,0,0,1,47,63827692.1861,60894.6159491,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,14,7367316.71128,4443.30434028,valid
1,12,0,1,0,12.0,0.0,12.0,0,0,1,2,29475528.5483,11511.5141667,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,8,7367325.31986,4434.69576389,valid
1,1,1,1,1,1.0,1.0,1.0,1.0,0,1,42,0.0,-4912639.98039,valid
2,1,1,1,1,0.5,0.5,1.0,1.0,0,1,10,-0.0418981481344,-4909771.90532,valid
13,71,45,12,8,5.46153846154,3.46153846154,5.91666666667,5.625,2,5,435,63837245.4633,-220946161.157,valid
4,9,8,4,2,2.25,2.0,2.25,4.0,1,3,368,2450284.65534,-39281113.3001,valid
1,15,0,1,0,15.0,0.0,15.0,0,0,1,327,36809221.1997,49578.8784722,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,8,7364816.68174,6943.33388889,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,17,7365738.77153,6021.24409722,valid
6,13,12,4,3,2.16666666667,2.0,3.25,4.0,0,4,367,2453892.82135,-58913981.2387,valid
3,16,9,3,2,5.33333333333,3.0,5.33333333333,4.5,1,2,371,17182060.3952,-44168576.6092,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,88,9819376.19264,9637.16152778,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,327,17177636.5598,23136.8099537,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,42,7367426.33844,-4907304.45207,valid
8,18,8,8,5,2.25,1.0,2.25,1.6,2,3,34,24551126.9481,-39265412.2403,valid
7,15,9,7,5,2.14285714286,1.28571428571,2.14285714286,1.8,3,4,159,14729408.2832,-44175060.613,valid
5,62,32,5,4,12.4,6.4,12.4,8.0,2,3,381,73639555.6209,-157032531.959,valid
3,17,4,3,2,5.66666666667,1.33333333333,5.66666666667,2.0,0,2,83,31914108.9903,-19616569.2217,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,327,7361844.23993,9915.77569444,valid
4,12,5,3,3,3.0,1.25,4.0,1.66666666667,0,1,25,17186724.3193,-24538432.2267,valid
5,32,36,5,4,6.4,7.2,6.4,9.0,0,1,54,-9826206.16742,-176833755.471,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,327,7361844.23993,9915.77569444,valid
1,30,0,1,0,30.0,0.0,30.0,0,0,1,29,73646404.3819,71195.7743056,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,25,7364532.18726,7227.82836806,valid
6,23,10,6,5,3.83333333333,1.66666666667,3.83333333333,2.0,0,3,368,31922869.4666,-49084627.6757,valid
3,12,3,3,1,4.0,1.0,4.0,3.0,1,1,21,22094586.4244,-14713969.4131,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,131,7367367.22306,4392.79256944,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,39,7368904.48802,2855.52760417,valid
1,56,0,1,0,56.0,0.0,56.0,0,0,1,51,137474022.363,132164.59537,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,2,131,7367367.22306,-4907357.92394,valid
3,5,2,3,2,1.66666666667,0.666666666667,1.66666666667,1.0,0,1,29,7367333.53545,-9818706.30216,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,327,7361844.23993,9915.77569444,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,29,7364640.43819,7119.57743056,valid
2,3,14,1,1,1.5,7.0,3.0,14.0,0,1,14,-27016088.0089,-68781906.5531,valid
1,9,0,1,0,9.0,0.0,9.0,0,0,1,327,22085532.7198,29747.3270833,valid
2,4,2,2,1,2.0,1.0,2.0,2.0,0,2,327,4907208.25684,-9811245.51212,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,88,17183908.3371,16865.0326736,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,21,7367349.01667,4410.99895833,valid
1,8,0,1,0,8.0,0.0,8.0,0,0,1,327,19631584.6398,26442.0685185,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,12,17186709.162,14064.2077431,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,5,7368868.44705,2891.56857639,valid
5,52,32,4,3,10.4,6.4,13.0,10.6666666667,1,4,375,49088728.6577,-157061743.558,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,5,7365135.73385,6624.28177083,valid
3,14,11,2,1,4.66666666667,3.66666666667,7.0,11.0,0,2,374,7361546.28601,-53997987.0694,valid
7,74,31,7,6,10.5714285714,4.42857142857,10.5714285714,5.16666666667,1,3,170,105559799.071,-152102700.828,valid
4,9,6,4,3,2.25,1.5,2.25,2.0,1,2,362,7363792.16772,-29452746.4463,valid
1,11,0,1,0,11.0,0.0,11.0,0,0,1,3,27014913.5962,14873.1277546,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,93,17183908.3673,16865.0024537,valid
1,10,0,1,0,10.0,0.0,10.0,0,0,1,39,24563014.9601,9518.42534722,valid
1,23,0,1,0,23.0,0.0,23.0,0,0,1,327,56440805.8395,76020.9469907,valid
2,22,3,2,1,11.0,1.5,11.0,3.0,0,1,131,46659990.9723,-14706916.3072,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,131,7367367.22306,4392.79256944,valid
4,9,6,4,3,2.25,1.5,2.25,2.0,0,3,390,7363974.16194,-29450985.4516,valid
4,22,12,4,3,5.5,3.0,5.5,4.0,0,2,78,24546826.9539,-58894964.731,valid
2,5,3,2,1,2.5,1.5,2.5,3.0,1,1,360,4909134.11374,-14723667.7259,valid
2,37,1,2,1,18.5,0.5,18.5,1.0,0,1,1,88389293.5129,-4838689.65042,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,6,7367345.98865,4414.02697917,valid
5,54,12,5,4,10.8,2.4,10.8,3.0,0,2,65,103106680.923,-58824568.043,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,17,7364664.76917,7095.24645833,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,30,7367292.39813,4467.6175,valid
2,6,1,2,1,3.0,0.5,3.0,1.0,0,1,12,12274586.527,-4901005.45712,valid
1,1,0,1,0,1.0,0.0,1.0,0,0,1,17,2455246.25718,2007.08136574,valid
1,11,0,1,0,11.0,0.0,11.0,0,0,1,2,27001033.0927,28753.6312963,valid
4,18,11,3,3,4.5,2.75,6.0,3.66666666667,1,2,371,17182505.1644,-53988876.9875,valid
2,3,3,1,1,1.5,1.5,3.0,3.0,1,1,23,-63.6476736097,-14731545.8787,valid
2,37,1,2,1,18.5,0.5,18.5,1.0,1,2,328,88342130.8792,-4790317.46414,valid
2,6,0,2,0,3.0,0.0,3.0,0,0,2,18,14729613.0708,13906.9604167,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,29,7364640.43819,7119.57743056,valid
1,17,0,1,0,17.0,0.0,17.0,0,0,1,327,41717117.3596,56189.3956018,valid
3,22,8,3,2,7.33333333333,2.66666666667,7.33333333333,4.0,0,2,385,34365212.7557,-39242201.1726,valid
1,6,0,1,0,6.0,0.0,6.0,0,0,1,39,14737808.976,5711.05520833,valid
1,19,0,1,0,19.0,0.0,19.0,0,0,1,1,46663632.2831,24181.1491435,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,18,7364643.6066,7116.40902778,valid
11,76,43,11,10,6.90909090909,3.90909090909,6.90909090909,4.3,0,5,132,81012628.3052,-211052048.657,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,327,7361844.23993,9915.77569444,valid
2,7,1,2,1,3.5,0.5,3.5,1.0,0,1,37,14734655.9711,-4902702.48792,valid
1,2,0,1,0,2.0,0.0,2.0,0,0,1,93,4909688.10495,4818.57212963,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,2,12278220.7689,8045.92384259,valid
2,146,2,2,1,73.0,1.0,73.0,2.0,1,2,328,353368523.517,-9342656.31162,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,32,17190496.5016,10276.8681944,valid
4,26,28,4,3,6.5,7.0,6.5,9.33333333333,0,1,61,-4935842.60495,-137517481.538,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,7,7367988.91642,3771.09920139,valid
1,12,0,1,0,12.0,0.0,12.0,0,0,1,327,29447376.9597,39663.1027778,valid
7,25,4,7,4,3.57142857143,0.571428571429,3.57142857143,1.0,0,3,59,51554223.9759,-19596439.1166,valid
3,33,25,3,2,11.0,8.33333333333,11.0,12.5,1,2,374,19635616.1733,-122720204.213,valid
1,9,0,1,0,9.0,0.0,9.0,0,0,1,327,22085532.7198,29747.3270833,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,327,7361844.23993,9915.77569444,valid
1,35,0,1,0,35.0,0.0,35.0,0,0,1,3,85953673.1132,50193.7357639,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,1,131,7367367.22306,-4907186.72623,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,29,7364640.43819,7119.57743056,valid
1,20,0,1,0,20.0,0.0,20.0,0,0,1,327,49078961.5995,66105.1712963,valid
2,5,3,2,1,2.5,1.5,2.5,3.0,1,1,373,4909130.10947,-14723687.7472,valid
1,19,0,1,0,19.0,0.0,19.0,0,0,1,6,46659857.9281,27955.5042014,valid
2,9,1,2,1,4.5,0.5,4.5,1.0,0,2,33,19639041.1685,-4890803.66116,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,6,7367358.35306,4401.66256944,valid
1,18,0,1,0,18.0,0.0,18.0,0,0,1,39,44213426.9281,17133.165625,valid
3,12,2,3,2,4.0,0.666666666667,4.0,1.0,1,2,24,24554210.5434,-9803017.92463,valid
2,20,10,2,1,10.0,5.0,10.0,10.0,0,2,38,24552259.0788,-49084896.9059,valid
