% []
@RELATION base

@ATTRIBUTE tot_changes_last NUMERIC
@ATTRIBUTE sum_insert_last NUMERIC
@ATTRIBUTE sum_delet_lasts NUMERIC
@ATTRIBUTE count_insert_last NUMERIC
@ATTRIBUTE count_delets_last NUMERIC
@ATTRIBUTE avg_insert_last NUMERIC
@ATTRIBUTE avg_delets_last NUMERIC
@ATTRIBUTE avg_insert_nonzero_last NUMERIC
@ATTRIBUTE avg_delets_nonzero_last NUMERIC
@ATTRIBUTE tot_bugs_last NUMERIC
@ATTRIBUTE lastVer_tot_developers NUMERIC
@ATTRIBUTE last_commit NUMERIC
@ATTRIBUTE last_bug NUMERIC
@ATTRIBUTE last_bug_binary NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
3,32,28,3,3,10.6666666667,9.33333333333,10.6666666667,9.33333333333,1,1,15.4067013888,112.975578704,112.975578704,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,303,10,2,2,151.5,5.0,151.5,5.0,0,2,88.0578009258,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,666,11,2,2,333.0,5.5,333.0,5.5,0,2,88.0578009258,0,0,valid
2,119,6,2,2,59.5,3.0,59.5,3.0,0,2,88.0578009258,0,0,valid
3,36,36,3,3,12.0,12.0,12.0,12.0,1,2,36.1082523149,179.133715278,179.133715278,valid
1,3707,2,1,1,3707.0,2.0,3707.0,2.0,0,1,246.814467593,0,0,valid
1,131,2,1,1,131.0,2.0,131.0,2.0,0,1,246.814467593,0,0,bugged
1,175,2,1,1,175.0,2.0,175.0,2.0,0,1,4.06728009274,0,0,valid
3,59,105,3,3,19.6666666667,35.0,19.6666666667,35.0,0,2,14.4056250001,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
6,106,94,6,6,17.6666666667,15.6666666667,17.6666666667,15.6666666667,2,2,14.4056250001,77.1712152776,77.1712152776,bugged
1,163,2,1,1,163.0,2.0,163.0,2.0,0,1,246.814467593,0,0,valid
8,423,289,8,8,52.875,36.125,52.875,36.125,3,2,4.06728009274,4.06728009274,4.06728009274,bugged
2,35,31,2,2,17.5,15.5,17.5,15.5,0,1,15.4067013888,0,0,valid
4,644,94,4,4,161.0,23.5,161.0,23.5,0,1,88.0578009258,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,103,2,1,1,103.0,2.0,103.0,2.0,0,1,246.814467593,0,0,valid
13,3463,1088,13,13,266.384615385,83.6923076923,266.384615385,83.6923076923,5,3,4.06728009274,4.06728009274,4.06728009274,bugged
4,899,92,4,4,224.75,23.0,224.75,23.0,0,3,2.87971064821,0,0,valid
5,587,174,5,5,117.4,34.8,117.4,34.8,0,3,14.4056250001,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
3,1118,132,3,3,372.666666667,44.0,372.666666667,44.0,0,2,3.09459490748,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,61,22,1,1,61.0,22.0,61.0,22.0,0,1,14.9328935184,0,0,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,303,2,1,1,303.0,2.0,303.0,2.0,0,1,16.1641087965,0,0,bugged
2,159,6,2,2,79.5,3.0,79.5,3.0,0,2,88.0578009258,0,0,valid
1,239,2,1,1,239.0,2.0,239.0,2.0,0,1,246.814467593,0,0,valid
7,163,109,7,7,23.2857142857,15.5714285714,23.2857142857,15.5714285714,2,3,14.4056250001,55.8596064816,55.8596064816,valid
6,1953,385,6,6,325.5,64.1666666667,325.5,64.1666666667,2,3,3.91687500011,3.91687500011,3.91687500011,bugged
4,419,46,4,4,104.75,11.5,104.75,11.5,0,2,14.9328935184,0,0,valid
3,1269,79,3,3,423.0,26.3333333333,423.0,26.3333333333,0,2,14.9328935184,0,0,valid
1,235,2,1,1,235.0,2.0,235.0,2.0,0,1,246.814467593,0,0,valid
3,295,26,3,3,98.3333333333,8.66666666667,98.3333333333,8.66666666667,0,2,14.9328935184,0,0,valid
1,857,2,1,1,857.0,2.0,857.0,2.0,0,1,4.06728009274,4.06728009274,4.06728009274,bugged
1,612,2,1,1,612.0,2.0,612.0,2.0,0,1,4.06728009274,4.06728009274,4.06728009274,bugged
10,1326,463,10,10,132.6,46.3,132.6,46.3,4,3,4.06728009274,4.06728009274,4.06728009274,bugged
1,707,2,1,1,707.0,2.0,707.0,2.0,0,1,246.814467593,0,0,valid
2,45,41,2,2,22.5,20.5,22.5,20.5,0,1,15.4067013888,0,0,valid
1,742,2,1,1,742.0,2.0,742.0,2.0,0,1,246.814467593,0,0,valid
5,1560,450,5,5,312.0,90.0,312.0,90.0,0,2,15.4067013888,0,0,valid
8,3110,2430,8,8,388.75,303.75,388.75,303.75,1,2,2.87971064821,4.06728009274,4.06728009274,bugged
