% []
@RELATION base

@ATTRIBUTE tot_changes_last_Methods NUMERIC
@ATTRIBUTE sum_insert_last_Methods NUMERIC
@ATTRIBUTE sum_delet_lasts_Methods NUMERIC
@ATTRIBUTE count_insert_last_Methods NUMERIC
@ATTRIBUTE count_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_last_Methods NUMERIC
@ATTRIBUTE avg_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_last_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_last_Methods NUMERIC
@ATTRIBUTE tot_bugs_last_Methods NUMERIC
@ATTRIBUTE lastVer_tot_developers_Methods NUMERIC
@ATTRIBUTE last_commit_Methods NUMERIC
@ATTRIBUTE last_bug_Methods NUMERIC
@ATTRIBUTE last_bug_binary_Methods NUMERIC
@ATTRIBUTE tot_changes_Methods NUMERIC
@ATTRIBUTE sum_insert_Methods NUMERIC
@ATTRIBUTE sum_delets_Methods NUMERIC
@ATTRIBUTE count_insert_Methods NUMERIC
@ATTRIBUTE count_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_Methods NUMERIC
@ATTRIBUTE avg_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_Methods NUMERIC
@ATTRIBUTE tot_bugs_Methods NUMERIC
@ATTRIBUTE tot_developers_Methods NUMERIC
@ATTRIBUTE change_set_Methods NUMERIC
@ATTRIBUTE age_Methods NUMERIC
@ATTRIBUTE age2_Methods NUMERIC
@ATTRIBUTE tot_changes_bugged_Methods NUMERIC
@ATTRIBUTE sum_insert_bugged_Methods NUMERIC
@ATTRIBUTE sum_delet_buggeds_Methods NUMERIC
@ATTRIBUTE count_insert_bugged_Methods NUMERIC
@ATTRIBUTE count_delets_bugged_Methods NUMERIC
@ATTRIBUTE avg_insert_bugged_Methods NUMERIC
@ATTRIBUTE avg_delets_bugged_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_bugged_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_bugged_Methods NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1457.16361111,0,0,1,3,0,1,0,3.0,0.0,3.0,0,0,1,949,7366634.93663,4371.49083333,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
5,20,7,5,4,4.0,1.4,4.0,1.75,1,1,221.993611111,1220.15068287,1220.15068287,5,20,7,5,4,4.0,1.4,4.0,1.75,1,1,2066,31925319.3064,-34375814.9039,1,5,1,1,1,5.0,1.0,5.0,1.0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1457.15842593,0,0,1,3,0,1,0,3.0,0.0,3.0,0,0,1,1671,7366634.95219,4371.47527778,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1457.16361111,0,0,1,3,0,1,0,3.0,0.0,3.0,0,0,1,949,7366634.93663,4371.49083333,0,0,0,0,0,0,0,0,0,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,1211.579375,0,0,1,4,0,1,0,4.0,0.0,4.0,0,0,1,23,9823162.25245,4846.3175,0,0,0,0,0,0,0,0,0,valid
2,5,24,2,2,2.5,12.0,2.5,12.0,0,1,250.117175926,0,0,2,5,24,2,2,2.5,12.0,2.5,12.0,0,1,82,-46678288.4809,-117928847.37,0,0,0,0,0,0,0,0,0,valid
2,5,1,2,1,2.5,0.5,2.5,1.0,0,1,989.192175926,0,0,2,5,1,2,1,2.5,0.5,2.5,1.0,0,1,22,9824051.76093,-4908069.0916,0,0,0,0,0,0,0,0,0,valid
2,20,2,2,1,10.0,1.0,10.0,2.0,0,1,414.037858796,0,0,2,20,2,2,1,10.0,1.0,10.0,2.0,0,1,36,44218554.6655,-9818868.51922,0,0,0,0,0,0,0,0,0,valid
1,14,0,1,0,14.0,0.0,14.0,0,0,1,1457.15842593,0,0,1,14,0,1,0,14.0,0.0,14.0,0,0,1,1671,34377629.7769,20400.217963,0,0,0,0,0,0,0,0,0,valid
4,90,47,4,3,22.5,11.75,22.5,15.6666666667,0,2,873.79900463,0,0,4,90,47,4,3,22.5,11.75,22.5,15.6666666667,0,2,1838,105586641.269,-230790276.141,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1457.15842593,0,0,1,3,0,1,0,3.0,0.0,3.0,0,0,1,1671,7366634.95219,4371.47527778,0,0,0,0,0,0,0,0,0,bugged
1,16,0,1,0,16.0,0.0,16.0,0,0,1,1457.16361111,0,0,1,16,0,1,0,16.0,0.0,16.0,0,0,1,949,39288719.662,23314.6177778,0,0,0,0,0,0,0,0,0,valid
1,14,0,1,0,14.0,0.0,14.0,0,0,1,1457.15842593,0,0,1,14,0,1,0,14.0,0.0,14.0,0,0,1,1671,34377629.7769,20400.217963,0,0,0,0,0,0,0,0,0,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,1457.16361111,0,0,1,5,0,1,0,5.0,0.0,5.0,0,0,1,949,12277724.8944,7285.81805556,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1457.15842593,0,0,1,3,0,1,0,3.0,0.0,3.0,0,0,1,1671,7366634.95219,4371.47527778,0,0,0,0,0,0,0,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,1,1,1128.76224537,1128.76224537,1128.76224537,2,6,3,2,1,3.0,1.5,3.0,3.0,1,1,204,7366636.75316,-14730870.6072,1,3,3,1,1,3.0,3.0,3.0,3.0,valid
2,12,1,2,1,6.0,0.5,6.0,1.0,0,1,1204.15908565,0,0,2,12,1,2,1,6.0,0.5,6.0,1.0,0,1,1674,27010994.8247,-4895567.22412,0,0,0,0,0,0,0,0,0,valid
1,15,0,1,0,15.0,0.0,15.0,0,0,1,1457.15842593,0,0,1,15,0,1,0,15.0,0.0,15.0,0,0,1,1671,36833174.7609,21857.3763889,0,0,0,0,0,0,0,0,0,valid
2,3,3,1,1,1.5,1.5,3.0,3.0,0,1,1104.71997685,0,0,2,3,3,1,1,1.5,1.5,3.0,3.0,0,1,1822,-1057.31534722,-14734327.2197,0,0,0,0,0,0,0,0,0,valid
5,6,6,5,5,1.2,1.2,1.2,1.2,0,3,221.993611111,0,0,5,6,6,5,5,1.2,1.2,1.2,1.2,0,3,686,0.0,-29476587.8803,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1457.15842593,0,0,1,3,0,1,0,3.0,0.0,3.0,0,0,1,1671,7366634.95219,4371.47527778,0,0,0,0,0,0,0,0,0,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,1457.16361111,0,0,1,4,0,1,0,4.0,0.0,4.0,0,0,1,949,9822179.91551,5828.65444444,0,0,0,0,0,0,0,0,0,valid
5,36,18,5,4,7.2,3.6,7.2,4.5,1,2,221.993611111,326.751400463,326.751400463,5,36,18,5,4,7.2,3.6,7.2,4.5,1,2,636,44217684.4521,-88433110.9662,1,14,8,1,1,14.0,8.0,14.0,8.0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1457.16361111,0,0,1,3,0,1,0,3.0,0.0,3.0,0,0,1,949,7366634.93663,4371.49083333,0,0,0,0,0,0,0,0,0,valid
5,43,12,5,3,8.6,2.4,8.6,4.0,0,3,211.711458333,0,0,5,43,12,5,3,8.6,2.4,8.6,4.0,0,3,1676,76126955.2341,-58921152.7782,0,0,0,0,0,0,0,0,0,valid
