% []
@RELATION base

@ATTRIBUTE tot_changes_last_Methods NUMERIC
@ATTRIBUTE sum_insert_last_Methods NUMERIC
@ATTRIBUTE sum_delet_lasts_Methods NUMERIC
@ATTRIBUTE count_insert_last_Methods NUMERIC
@ATTRIBUTE count_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_last_Methods NUMERIC
@ATTRIBUTE avg_delets_last_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_last_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_last_Methods NUMERIC
@ATTRIBUTE tot_bugs_last_Methods NUMERIC
@ATTRIBUTE lastVer_tot_developers_Methods NUMERIC
@ATTRIBUTE last_commit_Methods NUMERIC
@ATTRIBUTE last_bug_Methods NUMERIC
@ATTRIBUTE last_bug_binary_Methods NUMERIC
@ATTRIBUTE tot_changes_Methods NUMERIC
@ATTRIBUTE sum_insert_Methods NUMERIC
@ATTRIBUTE sum_delets_Methods NUMERIC
@ATTRIBUTE count_insert_Methods NUMERIC
@ATTRIBUTE count_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_Methods NUMERIC
@ATTRIBUTE avg_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_Methods NUMERIC
@ATTRIBUTE tot_bugs_Methods NUMERIC
@ATTRIBUTE tot_developers_Methods NUMERIC
@ATTRIBUTE change_set_Methods NUMERIC
@ATTRIBUTE age_Methods NUMERIC
@ATTRIBUTE age2_Methods NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
2,20,10,2,1,10.0,5.0,10.0,10.0,1,1,333.271782407,336.647731481,336.647731481,2,20,10,2,1,10.0,5.0,10.0,10.0,1,1,37,24539741.3183,-49076183.6782,valid
2,3,2,1,1,1.5,1.0,3.0,2.0,0,1,1817.29894676,0,0,2,3,2,1,1,1.5,1.0,3.0,2.0,0,1,157,2452194.40447,-9807857.54736,valid
3,57,29,2,2,19.0,9.66666666667,28.5,14.5,0,2,1245.76047454,0,0,3,57,29,2,2,19.0,9.66666666667,28.5,14.5,0,2,136,68676802.9098,-142233297.739,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,626,7357103.4642,-14708432.0539,valid
3,8,4,3,2,2.66666666667,1.33333333333,2.66666666667,2.0,0,2,1772.54574074,0,0,3,8,4,3,2,2.66666666667,1.33333333333,2.66666666667,2.0,0,2,628,9809641.68937,-19611735.9671,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,1059.4987037,0,0,1,7,0,1,0,7.0,0.0,7.0,0,0,1,42,17172758.966,7416.49092593,valid
3,18,10,3,2,6.0,3.33333333333,6.0,5.0,0,2,555.13912037,0,0,3,18,10,3,2,6.0,3.33333333333,6.0,5.0,0,2,626,19618942.5481,-49037508.0156,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,626,7357103.45556,-14708432.0452,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1034.68140046,0,0,1,3,0,1,0,3.0,0.0,3.0,0,0,1,83,7359828.29448,3104.04420139,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,626,7357103.45674,-14708432.0464,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,1933.9581713,0,0,2,6,3,2,1,3.0,1.5,3.0,3.0,0,1,626,7357103.45556,-14708432.0452,valid
1,33,0,1,0,33.0,0.0,33.0,0,0,1,1038.64429398,0,0,1,33,0,1,0,33.0,0.0,33.0,0,0,1,10,80957980.4638,34275.2617014,valid
