% []
@RELATION base

@ATTRIBUTE tot_changes_Methods NUMERIC
@ATTRIBUTE sum_insert_Methods NUMERIC
@ATTRIBUTE sum_delets_Methods NUMERIC
@ATTRIBUTE count_insert_Methods NUMERIC
@ATTRIBUTE count_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_Methods NUMERIC
@ATTRIBUTE avg_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_Methods NUMERIC
@ATTRIBUTE tot_bugs_Methods NUMERIC
@ATTRIBUTE tot_developers_Methods NUMERIC
@ATTRIBUTE change_set_Methods NUMERIC
@ATTRIBUTE age_Methods NUMERIC
@ATTRIBUTE age2_Methods NUMERIC
@ATTRIBUTE tot_changes_bugged_Methods NUMERIC
@ATTRIBUTE sum_insert_bugged_Methods NUMERIC
@ATTRIBUTE sum_delet_buggeds_Methods NUMERIC
@ATTRIBUTE count_insert_bugged_Methods NUMERIC
@ATTRIBUTE count_delets_bugged_Methods NUMERIC
@ATTRIBUTE avg_insert_bugged_Methods NUMERIC
@ATTRIBUTE avg_delets_bugged_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_bugged_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_bugged_Methods NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
3,7,3,2,2,2.33333333333,1.0,3.5,1.5,0,2,81,9825409.22747,-14738123.8009,0,0,0,0,0,0,0,0,0,valid
1,1,0,1,0,1.0,0.0,1.0,0,0,1,23,2456423.23453,20.5361574073,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,2,1,1,1,1.0,0.5,2.0,1.0,0,1,38,2456417.23103,-4912819.93398,0,0,0,0,0,0,0,0,0,valid
1,2,1,1,1,2.0,1.0,2.0,1.0,0,1,8,2456428.53,-4912841.81932,1,2,1,1,1,2.0,1.0,2.0,1.0,valid
2,6,6,1,1,3.0,3.0,6.0,6.0,0,1,48,-30.9302083347,-29476607.5363,0,0,0,0,0,0,0,0,0,valid
2,6,6,1,1,3.0,3.0,6.0,6.0,0,1,48,-30.9302083347,-29476607.5363,0,0,0,0,0,0,0,0,0,valid
2,5,5,1,1,2.5,2.5,5.0,5.0,0,1,48,-25.7751736119,-24563839.6136,0,0,0,0,0,0,0,0,0,valid
1,33,0,1,0,33.0,0.0,33.0,0,0,1,24,81059868.8709,2775.56163195,1,33,0,1,0,33.0,0.0,33.0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,0,1,0,1,0.0,1.0,0,1.0,0,1,20,-2456423.23682,-4912867.0075,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,51,8,2,1,25.5,4.0,25.5,8.0,0,2,41,105625777.767,-39301328.1056,0,0,0,0,0,0,0,0,0,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,23,12282116.1726,102.680787038,0,0,0,0,0,0,0,0,0,valid
2,12,2,2,1,6.0,1.0,6.0,2.0,0,2,46,24564023.8656,-9825295.79486,0,0,0,0,0,0,0,0,0,valid
4,3,8,2,4,0.75,2.0,1.5,2.0,1,2,116,-12281882.9995,-39302417.7133,1,0,1,0,1,0.0,1.0,0,1.0,valid
1,21,0,1,0,21.0,0.0,21.0,0,0,1,32,51584888.4338,430.750590272,0,0,0,0,0,0,0,0,0,valid
3,83,18,2,2,27.6666666667,6.0,41.5,9.0,0,2,30,159666593.559,-88428612.2865,0,0,0,0,0,0,0,0,0,valid
3,49,23,2,2,16.3333333333,7.66666666667,24.5,11.5,0,2,58,63865934.0423,-112993313.285,0,0,0,0,0,0,0,0,0,valid
3,74,30,2,2,24.6666666667,10.0,37.0,15.0,0,2,58,108081164.708,-147382127.436,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
3,72,20,2,2,24.0,6.66666666667,36.0,10.0,0,2,58,127732351.961,-98253569.7655,0,0,0,0,0,0,0,0,0,valid
3,152,78,2,2,50.6666666667,26.0,76.0,39.0,0,2,58,181772602.399,-383195668.137,0,0,0,0,0,0,0,0,0,valid
3,93,39,2,2,31.0,13.0,46.5,19.5,0,2,58,132645124.598,-191596993.819,0,0,0,0,0,0,0,0,0,valid
3,83,88,2,2,27.6666666667,29.3333333333,41.5,44.0,0,3,57,-12283049.9417,-432328589.53,0,0,0,0,0,0,0,0,0,valid
3,55,92,2,2,18.3333333333,30.6666666667,27.5,46.0,0,3,57,-90888174.6218,-451981031.713,0,0,0,0,0,0,0,0,0,valid
1,1,0,1,0,1.0,0.0,1.0,0,0,1,28,2456421.22075,22.5499305557,0,0,0,0,0,0,0,0,0,valid
3,73,106,2,2,24.3333333333,35.3333333333,36.5,53.0,0,3,57,-81062787.8674,-520760534.368,0,0,0,0,0,0,0,0,0,valid
3,115,146,2,2,38.3333333333,48.6666666667,57.5,73.0,0,3,57,-76150474.6017,-717273502.89,0,0,0,0,0,0,0,0,0,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,52,9825479.42593,295.656805556,0,0,0,0,0,0,0,0,0,valid
