% []
@RELATION base

@ATTRIBUTE NCSS NUMERIC
@ATTRIBUTE FileLen NUMERIC
@ATTRIBUTE sum_ifs NUMERIC
@ATTRIBUTE len_mccab NUMERIC
@ATTRIBUTE sum_mccab NUMERIC
@ATTRIBUTE mean_mccab NUMERIC
@ATTRIBUTE var_mccab NUMERIC
@ATTRIBUTE max_mccab NUMERIC
@ATTRIBUTE sum_fanOut NUMERIC
@ATTRIBUTE mean_fanOut NUMERIC
@ATTRIBUTE median_fanOut NUMERIC
@ATTRIBUTE max_fanOut NUMERIC
@ATTRIBUTE min_fanOut NUMERIC
@ATTRIBUTE len_NPath NUMERIC
@ATTRIBUTE sum_NPath NUMERIC
@ATTRIBUTE mean_NPath NUMERIC
@ATTRIBUTE var_NPath NUMERIC
@ATTRIBUTE max_NPath NUMERIC
@ATTRIBUTE len_JavaNCSSmet NUMERIC
@ATTRIBUTE sum_JavaNCSSmet NUMERIC
@ATTRIBUTE mean_JavaNCSSmet NUMERIC
@ATTRIBUTE var_JavaNCSSmet NUMERIC
@ATTRIBUTE max_JavaNCSSmet NUMERIC
@ATTRIBUTE sum_coupl NUMERIC
@ATTRIBUTE mean_coupl NUMERIC
@ATTRIBUTE median_coupl NUMERIC
@ATTRIBUTE max_coupl NUMERIC
@ATTRIBUTE min_coupl NUMERIC
@ATTRIBUTE len_executables NUMERIC
@ATTRIBUTE sum_executables NUMERIC
@ATTRIBUTE var_executables NUMERIC
@ATTRIBUTE max_executables NUMERIC
@ATTRIBUTE len_lens NUMERIC
@ATTRIBUTE sum_lens NUMERIC
@ATTRIBUTE var_lens NUMERIC
@ATTRIBUTE max_lens NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
65,129,1.0,3.0,8.0,2.66666666667,0.888888888889,4.0,13.0,13.0,13.0,13.0,13.0,3.0,10.0,3.33333333333,3.55555555556,6.0,3.0,44.0,14.6666666667,137.555555556,31.0,8.0,8.0,8.0,8.0,8.0,3.0,40.0,141.555555556,30.0,3.0,70.0,366.222222222,50.0,valid
33,72,0.0,4.0,5.0,1.25,0.1875,2.0,10.0,10.0,10.0,10.0,10.0,4.0,5.0,1.25,0.1875,2.0,4.0,22.0,5.5,19.25,13.0,1.0,1.0,1.0,1.0,1.0,4.0,13.0,5.1875,7.0,4.0,39.0,88.6875,26.0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
231,728,2.0,27.0,58.0,2.14814814815,4.05212620027,10.0,36.0,9.0,2.5,30.0,1.0,27.0,260.0,9.62962962963,1159.41838134,180.0,27.0,273.0,10.1111111111,80.3209876543,38.0,19.0,9.5,9.5,18.0,1.0,27.0,140.0,28.5953360768,26.0,27.0,566.0,567.59122085,100.0,bugged
24,58,0.0,2.0,3.0,1.5,0.25,2.0,8.0,8.0,8.0,8.0,8.0,2.0,3.0,1.5,0.25,2.0,2.0,12.0,6.0,16.0,10.0,6.0,6.0,6.0,6.0,6.0,2.0,9.0,12.25,8.0,2.0,20.0,49.0,17.0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
36,104,0.0,10.0,15.0,1.5,0.25,2.0,6.0,1.2,1.0,2.0,1.0,10.0,15.0,1.5,0.25,2.0,10.0,25.0,2.5,2.25,4.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.0,15.0,0.0,3.0,5.0,37.0,0.24,8.0,valid
27,63,0.0,2.0,3.0,1.5,0.25,2.0,6.0,6.0,6.0,6.0,6.0,2.0,4.0,2.0,0.0,2.0,2.0,16.0,8.0,16.0,12.0,5.0,5.0,5.0,5.0,5.0,2.0,14.0,16.0,11.0,2.0,21.0,20.25,15.0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
139,261,0.0,10.0,24.0,2.4,3.44,7.0,14.0,7.0,7.0,8.0,6.0,10.0,55.0,5.5,105.05,36.0,10.0,114.0,11.4,103.04,34.0,8.0,4.0,4.0,4.0,4.0,10.0,95.0,83.25,29.0,10.0,189.0,281.89,50.0,valid
18,53,0.0,2.0,3.0,1.5,0.25,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.5,0.25,2.0,2.0,11.0,5.5,12.25,9.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.0,9.0,12.25,8.0,2.0,20.0,49.0,17.0,valid
