% []
@RELATION base

@ATTRIBUTE tot_changes_last NUMERIC
@ATTRIBUTE sum_insert_last NUMERIC
@ATTRIBUTE sum_delet_lasts NUMERIC
@ATTRIBUTE count_insert_last NUMERIC
@ATTRIBUTE count_delets_last NUMERIC
@ATTRIBUTE avg_insert_last NUMERIC
@ATTRIBUTE avg_delets_last NUMERIC
@ATTRIBUTE avg_insert_nonzero_last NUMERIC
@ATTRIBUTE avg_delets_nonzero_last NUMERIC
@ATTRIBUTE tot_bugs_last NUMERIC
@ATTRIBUTE lastVer_tot_developers NUMERIC
@ATTRIBUTE last_commit NUMERIC
@ATTRIBUTE last_bug NUMERIC
@ATTRIBUTE last_bug_binary NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
5,256,210,5,5,51.2,42.0,51.2,42.0,0,5,64.1318402779,0,0,valid
1,387,2,1,1,387.0,2.0,387.0,2.0,0,1,98.0099652777,98.0099652777,98.0099652777,valid
4,112,76,4,4,28.0,19.0,28.0,19.0,0,3,707.154837963,0,0,valid
1,379,2,1,1,379.0,2.0,379.0,2.0,0,1,204.368472222,0,0,valid
1,8,8,1,1,8.0,8.0,8.0,8.0,0,1,228.049918981,0,0,valid
7,1168,766,7,7,166.857142857,109.428571429,166.857142857,109.428571429,6,3,8.95695601869,8.95695601869,8.95695601869,bugged
2,151,6,2,2,75.5,3.0,75.5,3.0,1,2,28.1565162037,210.299224537,210.299224537,valid
8,1088,340,8,8,136.0,42.5,136.0,42.5,3,8,54.9917592593,54.9917592593,54.9917592593,valid
3,65,70,3,3,21.6666666667,23.3333333333,21.6666666667,23.3333333333,1,2,187.425358796,187.425358796,187.425358796,bugged
1,20,20,1,1,20.0,20.0,20.0,20.0,0,1,190.967638889,190.967638889,190.967638889,valid
1,207,2,1,1,207.0,2.0,207.0,2.0,0,1,840.423171296,0,0,valid
2,493,18,2,2,246.5,9.0,246.5,9.0,0,1,236.099490741,0,0,valid
9,2027,468,9,9,225.222222222,52.0,225.222222222,52.0,6,1,193.148391203,193.331041667,193.331041667,valid
