% []
@RELATION base

@ATTRIBUTE tot_changes_Methods NUMERIC
@ATTRIBUTE sum_insert_Methods NUMERIC
@ATTRIBUTE sum_delets_Methods NUMERIC
@ATTRIBUTE count_insert_Methods NUMERIC
@ATTRIBUTE count_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_Methods NUMERIC
@ATTRIBUTE avg_delets_Methods NUMERIC
@ATTRIBUTE avg_insert_nonzero_Methods NUMERIC
@ATTRIBUTE avg_delets_nonzero_Methods NUMERIC
@ATTRIBUTE tot_bugs_Methods NUMERIC
@ATTRIBUTE tot_developers_Methods NUMERIC
@ATTRIBUTE change_set_Methods NUMERIC
@ATTRIBUTE age_Methods NUMERIC
@ATTRIBUTE age2_Methods NUMERIC
@ATTRIBUTE hasBug {bugged, valid}

@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,12,0,1,0,12.0,0.0,12.0,0,0,1,1466,29467819.2446,2961.77361111,valid
1,14,0,1,0,14.0,0.0,14.0,0,0,1,1466,34379122.452,3455.40254629,valid
1,9,0,1,0,9.0,0.0,9.0,0,0,1,1466,22100864.4334,2221.33020834,valid
1,13,0,1,0,13.0,0.0,13.0,0,0,1,1466,31923470.8483,3208.58807871,valid
1,13,0,1,0,13.0,0.0,13.0,0,0,1,139,31926626.5617,52.8746412061,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,8,4,2,1,4.0,2.0,4.0,4.0,1,2,677,9823213.42852,-19646102.6388,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,1,2,677,7367410.07139,-14734576.9791,valid
1,1,0,1,0,1.0,0.0,1.0,0,0,1,68,2455883.48529,14.9328935184,valid
2,10,3,2,1,5.0,1.5,5.0,3.0,0,2,1853,17189561.226,-14733134.461,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,1,2,677,7367410.07139,-14734576.9791,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,4,1,2,1,2.0,0.5,2.0,1.0,0,2,1853,7366954.81115,-4910880.27736,bugged
1,6,0,1,0,6.0,0.0,6.0,0,0,1,1466,14733909.6223,1480.88680556,valid
1,1,1,1,1,1.0,1.0,1.0,1.0,0,1,677,0.0,-4911620.72076,valid
4,22,22,4,4,5.5,5.5,5.5,5.5,1,2,740,0.0,-108056752.584,bugged
3,53,22,3,2,17.6666666667,7.33333333333,17.6666666667,11.0,1,3,1853,76125352.1627,-108047917.31,bugged
1,22,0,1,0,22.0,0.0,22.0,0,0,1,1466,54024335.2817,5429.91828703,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,2,1853,7366954.81115,-14734121.7189,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,127,17191188.0879,100.839375,valid
3,48,2,3,2,16.0,0.666666666667,16.0,1.0,1,2,182,112969723.417,-9821923.41461,bugged
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,7,0,1,0,7.0,0.0,7.0,0,0,1,1466,17189561.226,1727.70127315,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,1,2,677,7367410.07139,-14734576.9791,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,17,0,1,0,17.0,0.0,17.0,0,0,1,1466,41746077.2632,4195.84594908,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,63,1,2,1,31.5,0.5,31.5,1.0,0,2,1853,152250399.43,-4896318.22377,valid
1,10,0,1,0,10.0,0.0,10.0,0,0,1,1466,24556516.0372,2468.14467593,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
1,2,0,1,0,2.0,0.0,2.0,0,0,1,1466,4911303.20743,493.628935185,valid
1,5,2,1,1,5.0,2.0,5.0,2.0,0,1,127,7367652.03767,-9823492.83336,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,9,0,1,0,9.0,0.0,9.0,0,0,1,1466,22100864.4334,2221.33020834,valid
1,16,0,1,0,16.0,0.0,16.0,0,0,1,1466,39290425.6594,3949.03148148,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
1,10,0,1,0,10.0,0.0,10.0,0,0,1,1466,24556516.0372,2468.14467593,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,1466,9822606.41486,987.257870371,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,3,3,1,1,3.0,3.0,3.0,3.0,0,1,677,0.0,-14734862.1623,valid
1,15,0,1,0,15.0,0.0,15.0,0,0,1,1466,36834774.0557,3702.21701389,valid
1,6,0,1,0,6.0,0.0,6.0,0,0,1,1466,14733909.6223,1480.88680556,valid
1,2,1,1,1,2.0,1.0,2.0,1.0,0,1,86,2455882.25407,-4911748.34404,bugged
3,22,5,3,2,7.33333333333,1.66666666667,7.33333333333,2.5,0,1,681,41747293.9521,-24555074.5272,valid
1,37,0,1,0,37.0,0.0,37.0,0,0,1,1466,90859109.3375,9132.13530093,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
2,78,34,2,1,39.0,17.0,39.0,34.0,0,2,1853,108048670.563,-166984244.669,valid
1,1,1,1,1,1.0,1.0,1.0,1.0,0,1,677,0.0,-4911620.72076,valid
1,1,1,1,1,1.0,1.0,1.0,1.0,0,1,677,0.0,-4911620.72076,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,139,12279471.7545,20.3364004642,valid
1,12,0,1,0,12.0,0.0,12.0,0,0,1,1466,29467819.2446,2961.77361111,valid
1,94,0,1,0,94.0,0.0,94.0,0,0,1,1466,230831250.749,23200.5599537,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,11,0,1,0,11.0,0.0,11.0,0,0,1,1466,27012167.6409,2714.95914352,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,5,1,2,1,2.5,0.5,2.5,1.0,1,1,127,9823536.05023,-4911711.0528,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,1,2,677,7367410.07139,-14734576.9791,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,4,0,1,0,4.0,0.0,4.0,0,0,1,1466,9822606.41486,987.257870371,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,1,5,1,2,0.5,2.5,1.0,2.5,0,2,100,-9823372.3724,-24558536.9303,valid
2,2,1,2,1,1.0,0.5,1.0,1.0,1,2,677,2455803.35713,-4911525.65971,valid
1,51,0,1,0,51.0,0.0,51.0,0,0,1,1466,125238231.789,12587.5378472,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,5,0,1,0,5.0,0.0,5.0,0,0,1,1466,12278258.0186,1234.07233796,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,1466,17189561.226,1727.70127315,valid
2,49,1,2,1,24.5,0.5,24.5,1.0,0,2,1853,117871276.978,-4899773.62632,valid
4,12,16,3,4,3.0,4.0,4.0,4.0,0,2,823,-9823372.3724,-78586512.1631,valid
1,6,0,1,0,6.0,0.0,6.0,0,0,1,1466,14733909.6223,1480.88680556,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,1466,12278258.0186,1234.07233796,valid
1,3,3,1,1,3.0,3.0,3.0,3.0,0,1,677,0.0,-14734862.1623,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,1466,12278258.0186,1234.07233796,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,127,7367652.03767,43.2168749999,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,1,2,677,7367410.07139,-14734576.9791,valid
1,32,0,1,0,32.0,0.0,32.0,0,0,1,1466,78580851.3189,7898.06296296,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,3,3,1,1,1.5,1.5,3.0,3.0,1,2,102,-57.159722222,-14735231.0193,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,1,2,677,7367410.07139,-14734576.9791,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,20,0,1,0,20.0,0.0,20.0,0,0,1,1466,49113032.0743,4936.28935185,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,1466,9822606.41486,987.257870371,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,1466,17189561.226,1727.70127315,valid
1,36,0,1,0,36.0,0.0,36.0,0,0,1,139,88412196.6325,146.422083348,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,139,17191260.4563,28.4709606469,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,30,0,1,0,30.0,0.0,30.0,0,0,1,1466,73669548.1115,7404.43402778,valid
3,6,2,3,2,2.0,0.666666666667,2.0,1.0,0,2,1853,9822606.41486,-9821954.09537,valid
1,10,0,1,0,10.0,0.0,10.0,0,0,1,1466,24556516.0372,2468.14467593,valid
3,51,5,3,2,17.0,1.66666666667,17.0,2.5,0,2,1868,112959973.771,-24546896.3881,bugged
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
1,9,0,1,0,9.0,0.0,9.0,0,0,1,1466,22100864.4334,2221.33020834,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,39,0,1,0,39.0,0.0,39.0,0,0,1,86,95779407.9089,630.400243074,valid
2,10,5,2,1,5.0,2.5,5.0,5.0,1,2,677,12279016.7856,-24557628.2986,valid
2,10,1,2,1,5.0,0.5,5.0,1.0,0,2,1853,22100864.4334,-4909399.39056,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
1,4,4,1,1,4.0,4.0,4.0,4.0,0,1,677,0.0,-19646482.8831,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
1,3,3,1,1,3.0,3.0,3.0,3.0,0,1,8,0.0,-14734712.4036,valid
1,21,0,1,0,21.0,0.0,21.0,0,0,1,139,51573781.369,85.4128819481,bugged
1,4,0,1,0,4.0,0.0,4.0,0,0,1,1466,9822606.41486,987.257870371,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,0,2,682,7367314.19556,-14734481.1033,bugged
1,6,0,1,0,6.0,0.0,6.0,0,0,1,1466,14733909.6223,1480.88680556,valid
2,2,2,2,2,1.0,1.0,1.0,1.0,0,2,777,0.0,-9823388.74588,bugged
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
1,1,1,1,1,1.0,1.0,1.0,1.0,0,1,677,0.0,-4911620.72076,valid
1,8,0,1,0,8.0,0.0,8.0,0,0,1,1466,19645212.8297,1974.51574074,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,bugged
1,6,0,1,0,6.0,0.0,6.0,0,0,1,1466,14733909.6223,1480.88680556,valid
1,10,0,1,0,10.0,0.0,10.0,0,0,1,1466,24556516.0372,2468.14467593,valid
1,9,0,1,0,9.0,0.0,9.0,0,0,1,28,22102759.7582,326.005416665,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
2,22,11,2,1,11.0,5.5,11.0,11.0,1,2,677,27013836.9284,-54026782.2568,valid
1,3,3,1,1,3.0,3.0,3.0,3.0,0,1,677,0.0,-14734862.1623,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
1,40,0,1,0,40.0,0.0,40.0,0,0,1,86,98235290.163,646.564351857,valid
1,3,3,1,1,3.0,3.0,3.0,3.0,0,1,677,0.0,-14734862.1623,valid
1,11,0,1,0,11.0,0.0,11.0,0,0,1,1466,27012167.6409,2714.95914352,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
2,19,5,2,1,9.5,2.5,9.5,5.0,0,2,1853,34379122.452,-24554648.2013,valid
1,0,3,0,1,0.0,3.0,0,3.0,0,1,91,-7367586.92979,-14735282.1843,valid
1,0,3,0,1,0.0,3.0,0,3.0,0,1,139,-7367683.05271,-14735378.3073,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
2,3,4,2,2,1.5,2.0,1.5,2.0,0,2,720,-2455810.36038,-19646674.84,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,127,7367652.03767,43.2168749999,valid
2,19,2,2,1,9.5,1.0,9.5,2.0,0,2,1853,41746077.2632,-9819045.59558,valid
1,6,0,1,0,6.0,0.0,6.0,0,0,1,28,14735173.1722,217.336944442,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,7,0,1,0,7.0,0.0,7.0,0,0,1,127,17191188.0879,100.839375,bugged
1,13,0,1,0,13.0,0.0,13.0,0,0,1,1466,31923470.8483,3208.58807871,valid
2,19,2,2,1,9.5,1.0,9.5,2.0,0,1,214,41749746.0793,-9823009.02045,bugged
1,94,0,1,0,94.0,0.0,94.0,0,0,1,1466,230831250.749,23200.5599537,valid
2,6,3,2,1,3.0,1.5,3.0,3.0,1,2,677,7367410.07139,-14734576.9791,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,1466,9822606.41486,987.257870371,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
1,56,0,1,0,56.0,0.0,56.0,0,0,1,1466,137516489.808,13821.6101852,valid
1,4,0,1,0,4.0,0.0,4.0,0,0,1,1466,9822606.41486,987.257870371,valid
1,5,0,1,0,5.0,0.0,5.0,0,0,1,1466,12278258.0186,1234.07233796,valid
1,17,0,1,0,17.0,0.0,17.0,0,0,1,1466,41746077.2632,4195.84594908,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,23,0,1,0,23.0,0.0,23.0,0,0,1,1466,56479986.8855,5676.73275463,valid
2,14,3,2,1,7.0,1.5,7.0,3.0,0,2,1853,27012167.6409,-14732147.2031,valid
1,9,0,1,0,9.0,0.0,9.0,0,0,1,1466,22100864.4334,2221.33020834,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,10,0,1,0,10.0,0.0,10.0,0,0,1,1466,24556516.0372,2468.14467593,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
1,6,0,1,0,6.0,0.0,6.0,0,0,1,5,14734860.386,530.123055557,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,5,4,1,1,5.0,4.0,5.0,4.0,0,1,28,2455862.19536,-19646861.34,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
1,3,0,1,0,3.0,0.0,3.0,0,0,1,1466,7366954.81115,740.443402778,valid
1,6,6,1,1,6.0,6.0,6.0,6.0,0,1,677,0.0,-29469724.3246,valid
2,31,3,2,1,15.5,1.5,15.5,3.0,0,2,1853,68758244.904,-14727951.3572,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
0,0,0,0,0,0,0,0,0,0,0,0,0,0,valid
1,3,3,1,1,3.0,3.0,3.0,3.0,0,1,677,0.0,-14734862.1623,valid
2,11,1,2,1,5.5,0.5,5.5,1.0,0,2,1853,24556516.0372,-4909152.57609,valid
